"Order ID","PROUDCT NAME","UPC","RETURN REASON","RETURN DATE","CURRENT STATUS","UNIT","PO#","PO Line#","RMA#","RETURN ORDER LINE#","FAULT","CURRENT_TRACKING_STATUS","DELIVERED_DATE","RECEIVED_SCAN_DATE","DISPOSITION","ITEM_CONDITION"
"200010741561953","Restored Apple Watch Series 5 (GPS, 40mm) - Space Gray Aluminum Case with Black Sport Band (Refurbished)","194026648435","Incorrect item","2023-02-04T19:55:04Z","RETURN_CANCELLED","1","108803419425092","1","152938535012121175","1","WFS","initiated","NA","NA","NA","NA"
"200010693256788","Restored Apple iPad 6th Gen 32GB Wi-Fi Space Gray (Refurbished)","190403417045","Defective","2023-02-04T19:34:22Z","RETURN_CANCELLED","1","108801458340437","1","157504065073197532","1"," ","initiated","NA","NA","NA","NA"
"200010756679490","Used Watch Series 5 44mm GPS Space Gray Aluminum Case Black Sport Band MWVF2LL/A - Grade B","675696223387","Incorrect item","2023-02-04T19:23:11Z","RETURN_CANCELLED","1","108800331306576","1","152462863273736399","1"," ","initiated","NA","NA","NA","NA"
"200010577259928","Restored Apple Watch Series 4 40mm GPS + Cellular 4G LTE - Gold - Pink Sport Band (Refurbished)","791109153017","Defective","2023-02-04T19:17:16Z","DELIVERED_AT_RC_POST_INVOICE","1","108734240025502","1","157618904896691390","1","SELLER","deliveredToRC","2023-02-13T12:24:00.000+0000","2023-02-16T02:36:08.274+0000","RTV","UNSELLABLE"
"200010744400494","Restored Apple iPhone 11 64GB Fully Unlocked (Verizon + Sprint + GSM Unlocked) - Black (Refurbished)","689518376991","Defective","2023-02-04T19:14:40Z","RETURN_INVOICED","1","108802995790840","1","151803692336208334","1","SELLER","deliveredToRC","2023-02-09T11:03:00.000+0000","2023-02-15T08:21:15.465+0000","RTV","UNSELLABLE"
"200010732202261","Restored Apple Watch Series 4 GPS + LTE - 40mm - Sport Band - Aluminum Case (Refurbished)","190403914803","Defective","2023-02-04T19:04:59Z","DELIVERED_AT_RC_POST_INVOICE","1","108803112868460","1","153739881859515369","1","SELLER","deliveredToRC","2023-02-08T11:46:00.000+0000","2023-02-14T14:09:13.509+0000","RTV","UNSELLABLE"
"200010740569507","iPhone 12 64GB Blue (Unlocked) Used Grade B","686457013246","Changed Mind","2023-02-04T18:48:31Z","RETURN_CANCELLED","1","108802995925292","1","152060452234161236","1","CUSTOMER","initiated","NA","NA","NA","NA"
"200010563404296","Restored Apple Watch 38mm Series 3 GPS + Cellular with Sport Band MQJN2LL/A (Refurbished)","650229388092","Damaged","2023-02-04T18:20:49Z","RETURN_INVOICED","1","108732037757431","1","159857993531972420","1","WFS","deliveredToRC","2023-02-08T11:46:00.000+0000","2023-02-13T18:02:33.640+0000","DISPOSE","UNSELLABLE"
"200010759892278","Nest Thermostat US, White (Snow)","193575007731","Changed Mind","2023-02-04T18:06:13Z","DELIVERED_AT_RC_POST_INVOICE","1","108803010328355","1","154172185701912968","1","CUSTOMER","deliveredToRC","2023-02-13T12:24:19.000+0000","2023-02-17T21:04:03.109+0000","RTV","UNSELLABLE"
"200010504307506","Restored Apple Watch Series 6 GPS, 40mm Space Gray Aluminum Case with Black Sport Band - Regular (Refurbished)","194026977368","Defective","2023-02-04T17:18:31Z","RETURN_CANCELLED","1","108732140967055","1","155405586611584729","1"," ","initiated","NA","NA","NA","NA"
"200010702138962","Restored Apple Watch Series 5 (GPS, 40mm) - Space Gray Aluminum Case with Black Sport Band (Refurbished)","194026648435","Defective","2023-02-04T17:17:05Z","RETURN_INVOICED","1","108802893267303","1","154172461422651066","1","SELLER","deliveredToRC","2023-02-08T11:46:00.000+0000","2023-02-12T04:22:37.813+0000","RTV","UNSELLABLE"
"200010807886508","Restored Apple Watch Series 5 44mm GPS Aluminum Space Gray Black Sport Band Smartwatch (Refurbished)","012436793616","Changed Mind","2023-02-04T16:22:34Z","RETURN_CANCELLED","1","108803317307123","1","153739484378283963","1"," ","initiated","NA","NA","NA","NA"
"200010732202261","Restored Apple Watch Series 4 GPS + LTE - 40mm - Sport Band - Aluminum Case (Refurbished)","190403914803","Defective","2023-02-04T15:38:52Z","RETURN_CANCELLED","1","108803112868460","1","152438973947180312","1"," ","initiated","NA","NA","NA","NA"
"200010817531425","Restored Apple Watch Gen 7 Series 7 Cell 45mm Midnight Aluminum - Midnight Sport Band MKJ73LL/A (Refurbished)","195925258350","Damaged","2023-02-04T15:02:04Z","RETURN_INVOICED","1","108802996939341","1","153027539500521236","1","WFS","deliveredToRC","2023-02-08T11:46:00.000+0000","2023-02-14T13:37:07.564+0000","DISPOSE","UNSELLABLE"
"200010680680644","Restored Apple Watch Gen 6 Series 6 44mm Space Gray Aluminum - Black Sport Band M00H3LL/A (Refurbished)","194026991838","Changed Mind","2023-02-04T12:29:46Z","RETURN_CANCELLED","1","108803099395096","1","152462820230924128","1"," ","initiated","NA","NA","NA","NA"
"200010685542457","Restored Apple Watch Gen 6 Series 6 44mm Blue Aluminum - Deep Navy Sport Band M00J3LL/A (Refurbished)","195925001987","Defective","2023-02-04T04:56:55Z","RETURN_CANCELLED","1","108734861051140","1","154172468961986067","1","SELLER","initiated","NA","NA","NA","NA"
"200010718066061","JBL Flip 5 Portable Waterproof Wireless Bluetooth Speaker - Red","050036359283","Changed Mind","2023-02-04T02:50:15Z","RETURN_CANCELLED","1","108803110757367","1","159857380516741181","1"," ","initiated","NA","NA","NA","NA"
"200010521281224","Restored Apple iPhone 11 128GB Black Fully Unlocked Smartphone (Refurbished)","689518376489","Defective","2023-02-04T01:36:10Z","RETURN_CANCELLED","1","108734135276823","1","158693781314415589","1","SELLER","initiated","NA","NA","NA","NA"
"200010680393951","Restored Refurbished Apple iPhone 11 64GB Fully Unlocked (Verizon + Sprint + GSM Unlocked) - Red (Refurbished) Refurbished","689518377028","Damaged","2023-02-04T00:59:21Z","RETURN_INVOICED","1","108803213361318","1","153739317936429433","1","WFS","deliveredToRC","2023-02-09T11:03:55.000+0000","2023-02-15T16:17:06.504+0000","DISPOSE","UNSELLABLE"
"200010580077817","Restored Apple Watch Series 3 - 42mm Space Gray Aluminum Case - Gray Sport Band (Refurbished)","190403172623","Damaged","2023-02-03T22:55:19Z","DELIVERED_AT_RC_POST_INVOICE","1","108731936548100","2","155405780123881066","1","WFS","deliveredToRC","2023-02-09T11:03:55.000+0000","2023-02-16T07:15:35.967+0000","DISPOSE","UNSELLABLE"
"200010718633820","Restored Apple Watch Gen 7 Series 7 Cell 45mm Midnight Aluminum - Midnight Sport Band MKJ73LL/A (Refurbished)","195925258350","Defective","2023-02-03T22:37:52Z","RETURN_CANCELLED","1","108803111863214","1","159857118303080926","1"," ","initiated","NA","NA","NA","NA"
"200010723269998","Apple iPhone 11 Pro Max 256GB Space Gray Fully Unlocked B Grade Used Smartphone","689518382558","Lost","2023-02-03T21:02:38Z","RETURN_INVOICED","1","108801766901148","1","156419062460649196","1","WFS","initiated","NA","NA","NA","NA"
"200010739305389","Restored Apple Watch Series 5 (GPS, 40mm) - Space Gray Aluminum Case with Black Sport Band (Refurbished)","194026648435","Incorrect item","2023-02-03T20:19:39Z","RETURN_CANCELLED","1","108802995513159","1","157632108471573107","2","WFS","initiated","NA","NA","NA","NA"
"200010739305389","Restored Apple Watch Series 5 (GPS, 40mm) - Space Gray Aluminum Case with Black Sport Band (Refurbished)","194026648435","Incorrect item","2023-02-03T20:19:39Z","RETURN_CANCELLED","1","108802995513159","1","157632108471573107","1","WFS","initiated","NA","NA","NA","NA"
